Название статьи;Сссылка на статью;Дата публикации;Изображение статьи
СМИ: ремастеры GTAIV и Red Dead Redemption заморожены, но могут выйти после GTAVI;https://stopgame.ru//newsdata/54005/smi_remastery_gtaiv_i_red_dead_redemption_zamorozheny_no_mogut_vyyti_posle_gtavi;Сегодня;https://stopgame.ru/https://images.stopgame.ru/news/2022/07/05/c270x153/e1So9lOUyq3Cg2susMDbaw/4HsLDKkl8.jpg
8 июля выйдет Skyrim Together Reborn — новая версия кооперативного мода для Skyrim;https://stopgame.ru//newsdata/53985/8_iyulya_vyydet_skyrim_together_reborn_novaya_versiya_kooperativnogo_moda_dlya_skyrim;Вчера;https://stopgame.ru/https://images.stopgame.ru/news/2022/07/04/c270x153/petkPf7UI-EFDAXji1HIAQ/CL8pdRgO.jpg
Рейтинг Battlefield 2042 в Steam впервые стал «смешанным»;https://stopgame.ru//newsdata/53966/reyting_battlefield_2042_v_steam_vpervye_stal_smeshannym;2 июля;https://stopgame.ru/https://images.stopgame.ru/news/2022/07/01/c270x153/wyL3KmIMYThZXLzSmU9Gcw/A-hFhuP.jpg
Анонс Stuntfest: World Tour — гонки с летающими водителями;https://stopgame.ru//newsdata/53946/anons_stuntfest_world_tour_gonki_s_letayuschimi_voditelyami;30 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/30/c270x153/7gbMF0YShdQPjv6eQM5oRQ/wifMaxyd.jpg
Подробнее о стартовых позициях в Immortal Empires — режиме Total War: Warhammer III;https://stopgame.ru//newsdata/53925/podrobnee_o_startovyh_poziciyah_v_immortal_empires_rezhime_total_war_warhammer_iii;29 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/29/c270x153/PhODqmL-ZJlu1LfinFw8Vg/xhDsuI__.jpg
Геймплей Code: To Jin Yong — фэнтези-экшена на Unreal Engine 5 про восточные единоборства;https://stopgame.ru//newsdata/53906/geympley_code_to_jin_yong_fentezi_ekshena_na_unreal_engine_5_pro_vostochnye_edinoborstva;28 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/28/c270x153/bk-40ZaB1FflHgcGd8zNOw/cX61pbt.jpg
Геймплей Scarface: Empire — отменённого сиквела игры по «Лицу со шрамом» с большими амбициями;https://stopgame.ru//newsdata/53884/geympley_scarface_empire_otmen_nnogo_sikvela_igry_po_licu_so_shramom_s_bolshimi_ambiciyami;26 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/26/c270x153/E39ovLip-F_CODC8CRCgFg/mO4LKTyw.jpg
Ролевой детектив Pentiment переведут на русский после релиза;https://stopgame.ru//newsdata/53865/rolevoy_detektiv_pentiment_perevedut_na_russkiy_posle_reliza;23 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/23/c270x153/0Ofl7AV_louDNJ66tABpZg/xhUHbMS7m.jpg
Valve уничтожила Steam Deck и раздавила вортигонта, чтобы показать, для чего нужны карточки в Steam;https://stopgame.ru//newsdata/53844/valve_unichtozhila_steam_deck_i_razdavila_vortigonta_chtoby_pokazat_dlya_chego_nuzhny_kartochki_v_steam;22 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/22/c270x153/HWlRGbSyAM4jbGgFrywuJA/7tJ2dGW.jpg
KotOR II для Switch невозможно пройти из-за бага (но его обещают скоро исправить);https://stopgame.ru//newsdata/53824/kotor_ii_dlya_switch_nevozmozhno_proyti_iz_za_baga_no_ego_obeschayut_skoro_ispravit;21 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/21/c270x153/H2tiEW1C4Tj69lJbtR8gBQ/TyNPKlF.jpg
Чарт продаж Steam: ремейк Final Fantasy VII, новые «Черепашки-ниндзя» и пара бывших эксклюзивов EGS;https://stopgame.ru//newsdata/53804/chart_prodazh_steam_remeyk_final_fantasy_vii_novye_cherepashki_nindzya_i_para_byvshih_eksklyuzivov_egs;19 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/19/c270x153/Nte4UjlSxYQyBxeICaY77A/5LeFgSI.jpg
Приложение Xbox теперь предугадывает, как игра пойдёт на вашем ПК;https://stopgame.ru//newsdata/53784/prilozhenie_xbox_teper_predugadyvaet_kak_igra_poyd_t_na_vashem_pk;17 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/17/c270x153/odQgsL_TZI6zcgmCgBVStA/Wmlsk6w0.jpg
В четвёртом сезоне Warzone и Vanguard появится пара новых карт;https://stopgame.ru//newsdata/53764/v_chetv_rtom_sezone_warzone_i_vanguard_poyavitsya_para_novyh_kart;15 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/15/c270x153/tafqq8_x2_yIUGX6Zhxd8A/3-KPaC6.jpg
Акции Devolver Digital обвалились на 47 % после известий о низких продажах игр;https://stopgame.ru//newsdata/53744/akcii_devolver_digital_obvalilis_na_47_posle_izvestiy_o_nizkih_prodazhah_igr;14 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/14/c270x153/na0rRIBmsVhLfxg_AZ4-NQ/8B5eE_m3S.jpg
Режиссёр новой экранизации «Сайлент-Хилла» тоже говорит, что Konami готовит свежие игры в серии;https://stopgame.ru//newsdata/53725/rezhiss_r_novoy_ekranizacii_saylent_hilla_tozhe_govorit_chto_konami_gotovit_svezhie_igry_v_serii;13 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/13/c270x153/aamct1hbEv24-wpoWLxWiw/9PRWfXp.jpg
Кодзима работает над новой игрой с Microsoft;https://stopgame.ru//newsdata/53706/kodzima_rabotaet_nad_novoy_igroy_s_microsoft;12 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/12/c270x153/64Dnpwh18RWG2Gz1_RM_Mw/tQbBETp.jpg
